Manchester City,Premier League,83,15.8,46,2
Bayern Munich,Bundesliga,99,17.1,44,3
Paris Saint-Germain,Ligue 1,86,15,73,7
Barcelona,LaLiga,85,15.3,68,2
Real Madrid,LaLiga,67,14.4,57,2
Manchester United,Premier League,73,13.8,64,1
Juventus,Serie A,77,15.7,76,6
Aston Villa,Premier League,55,13.7,63,4
Borussia Dortmund,Bundesliga,75,14.6,43,1
Atletico Madrid,LaLiga,67,12.1,100,0
Atalanta,Serie A,90,16.3,66,3
Chelsea,Premier League,58,14.6,49,3
Liverpool,Premier League,68,16,40,0
AC Milan,Serie A,74,14.7,80,4
Lille,Ligue 1,64,12.8,67,2
Tottenham,Premier League,68,11.7,53,2
Napoli,Serie A,86,17,71,3
Leicester,Premier League,68,12.8,61,0
Wolfsburg,Bundesliga,61,14.1,56,3
Inter,Serie A,89,14.5,59,2
Lyon,Ligue 1,81,16.1,60,10
RB Leipzig,Bundesliga,60,16,57,0
Leeds,Premier League,62,13.7,61,1
West Ham,Premier League,62,12.3,48,3
Everton,Premier League,47,10.5,59,2
Bayer Leverkusen,Bundesliga,53,13,58,0
Eintracht Frankfurt,Bundesliga,69,13.2,80,1
Monaco,Ligue 1,76,12.8,74,7
Roma,Serie A,68,14.3,84,3
Sevilla,LaLiga,53,12.1,75,2
Borussia M.Gladbach,Bundesliga,64,13.4,61,2
Arsenal,Premier League,55,12.1,47,5
Rennes,Ligue 1,52,13.5,80,5
VfB Stuttgart,Bundesliga,56,13.4,63,2
Wolverhampton Wanderers,Premier League,36,12.2,53,1
Sassuolo,Serie A,64,13.9,74,4
Metz,Ligue 1,44,11.5,82,4
Villarreal,LaLiga,60,10.7,65,5
Real Sociedad,LaLiga,59,11.3,81,1
Brighton,Premier League,40,12.8,45,6
Real Betis,LaLiga,50,11.7,87,8
Burnley,Premier League,33,10.1,48,0
Lens,Ligue 1,55,11.7,84,7
Brest,Ligue 1,50,11.8,60,4
Fulham,Premier League,27,11.6,67,3
Marseille,Ligue 1,54,10,94,9
Sampdoria,Serie A,52,11.3,81,3
Montpellier,Ligue 1,60,12.2,65,7
Nice,Ligue 1,50,10.8,69,4
Hoffenheim,Bundesliga,52,12.6,65,4
Southampton,Premier League,47,11.2,52,3
Newcastle United,Premier League,46,10.4,61,3
Lazio,Serie A,61,13.8,100,5
Nantes,Ligue 1,47,10.8,68,4
Union Berlin,Bundesliga,50,11.7,55,2
Strasbourg,Ligue 1,49,11.3,56,3
Crystal Palace,Premier League,41,9.2,54,2
Freiburg,Bundesliga,52,11.4,63,0
Valencia,LaLiga,50,10.3,77,5
Celta Vigo,LaLiga,55,9.4,104,5
Reims,Ligue 1,42,9.6,75,8
Torino,Serie A,50,12.2,72,4
Verona,Serie A,43,10.6,91,1
Saint-Etienne,Ligue 1,42,11.6,76,2
Bordeaux,Ligue 1,42,11.1,74,4
Hertha Berlin,Bundesliga,41,11.3,63,3
Cagliari,Serie A,43,11.4,73,3
Mainz 05,Bundesliga,39,11.1,61,1
Bologna,Serie A,51,13.1,78,4
Augsburg,Bundesliga,36,9.9,65,4
Udinese,Serie A,42,10.9,63,2
SD Huesca,LaLiga,34,10.7,68,2
Athletic Bilbao,LaLiga,46,10.6,81,3
Osasuna,LaLiga,37,9.8,74,5
Lorient,Ligue 1,50,11.2,67,3
Genoa,Serie A,47,9,85,2
Arminia Bielefeld,Bundesliga,26,9.8,52,1
Angers,Ligue 1,40,10.7,63,2
Eibar,LaLiga,29,11.9,67,3
Werder Bremen,Bundesliga,36,10.6,63,3
Fiorentina,Serie A,47,9.8,86,5
Nimes,Ligue 1,40,10.3,57,5
West Bromwich Albion,Premier League,35,8.9,51,4
FC Koln,Bundesliga,34,10.6,62,1
Deportivo Alaves,LaLiga,36,9.1,87,8
Levante,LaLiga,46,10.1,70,1
Spezia,Serie A,52,10.2,92,5
Getafe,LaLiga,28,9.5,117,7
Parma Calcio 1913,Serie A,39,10.4,91,1
Elche,LaLiga,34,7.1,95,3
Granada,LaLiga,47,9.4,96,6
Cadiz,LaLiga,36,8,77,3
Real Valladolid,LaLiga,34,9.7,93,4
Sheffield United,Premier League,20,8.5,73,3
Crotone,Serie A,45,9.5,85,4
Benevento,Serie A,40,11,90,5
Dijon,Ligue 1,25,9.2,75,5
Schalke 04,Bundesliga,25,8.9,70,2
